ASIGNATURA,TEMA O CONCEPTO,SOLO,BLOOM,TEMA_CLASIFICADO,APRENDIZAJE_ASIGNATURA
PROGRAMACIÓN IMPERATIVA,Ciclos y razones de cambio,Preestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Cronograma y presupuestos,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Asignación de recursos logistica y tiempos,Relacional,Crear,Investigación,Crear Automatización de Pruebas y Mejora Continua
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Clases y objetos,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,métodos y objetos,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Palabras capicúa y clases,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ESTRUCTURAS DE DATOS,listas doblemente enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Clases,Multiestructural,Comprender,Programación Java,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Java y clases,Multiestructural,Comprender,Programación Java,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Arraylist,NO HAY VERBO,NO HAY VERBO,NO HAY TEMA,NO HAY VERBO
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Creación de clases y métodos,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Array list en java,Uniestructural,Recordar,Programación Java,Recordar Estrategias de Codificación Efectiva y Eficiente
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Arreglos y objetos,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,ciclos para recorrer arreglo de objetos,Uniestructural,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
ESTRUCTURAS DE DATOS,Àrboles,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ESTRUCTURAS DE DATOS,Grafos,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Interfaces gráficas de usuario.,Multiestructural,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,java interfaces,Multiestructural,Comprender,Programación Java,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,formularios y componentes de interfaces,Multiestructural,Crear,Programación Python,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ESTRUCTURAS DE DATOS,Colas,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ESTRUCTURAS DE DATOS,Colas,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ESTRUCTURAS DE DATOS,Pilas,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ESTRUCTURAS DE DATOS,Multilistas,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,árboles,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ESTRUCTURAS DE DATOS,Colas,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ESTRUCTURAS DE DATOS,Pilas,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ESTRUCTURAS DE DATOS,inserción en colas,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ESTRUCTURAS DE DATOS,Estructura de colas,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Estructura de datos colas,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Pilas  en java,NO HAY VERBO,Aplicar,Programación Java,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
ESTRUCTURAS DE DATOS,Lectura de datos en java,Abstracto Extendido,Recordar,Programación Java,Recordar Estrategias de Codificación Efectiva y Eficiente
ESTRUCTURAS DE DATOS,Código de estructura de árboles,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,árboles binarios,Uniestructural,Recordar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ESTRUCTURAS DE DATOS,listas doblemente enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Recorrido de listas ,Uniestructural,Recordar,Programación Python,Recordar Estrategias de Codificación Efectiva y Eficiente
ESTRUCTURAS DE DATOS,Impresion listas,Multiestructural,Crear,Programación Python,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ALGORITMIA Y PROGRAMACIÓN,vectores y matrices,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ALGORITMIA Y PROGRAMACIÓN,Arreglos y vectores,Relacional,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
PROGRAMACIÓN IMPERATIVA,Funciones,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Matrices y arreglos,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMIA Y PROGRAMACIÓN,Arreglos,Relacional,Recordar,Otros,Comprender Código y Requerimientos Existentes
ESTRUCTURAS DE DATOS,multilistas,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
ESTRUCTURAS DE DATOS,Árboles,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ESTRUCTURAS DE DATOS,Grafos,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,distribución binomial,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,teoria de colas,Uniestructural,Recordar,Estadística y Matemáticas,Recordar Estrategias de Codificación Efectiva y Eficiente
PROGRAMACIÓN IMPERATIVA,Funciones,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Ciclos números aleatorios,Multiestructural,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
PROGRAMACIÓN IMPERATIVA,Funciones y procedimientos,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Herencia en DPOO,Preestructural,Crear,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Aclaración de dudas con respecto a requerimientos funcionales y no funcionales.,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,Codificación de objetos en Java,Multiestructural,Crear,Programación Java,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ALGORITMIA Y PROGRAMACIÓN,Resolución de problema sobre triangulo egipcio,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMIA Y PROGRAMACIÓN,Resolución de ecuacion de 2do grado a partir del signo del discriminante,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMIA Y PROGRAMACIÓN,Bucles while - conceptos generales,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMIA Y PROGRAMACIÓN,Solucion ejercicio de suma de numeros impares,Relacional,Aplicar,Investigación,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
ALGORITMIA Y PROGRAMACIÓN,Solución problema numeros divisibles entre 3,Uniestructural,Recordar,Investigación,Recordar Estrategias de Codificación Efectiva y Eficiente
ALGORITMIA Y PROGRAMACIÓN,solucion problema numeros pares en rango,Uniestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
ALGORITMIA Y PROGRAMACIÓN,resolucion ejercicio 6 del parcial,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMIA Y PROGRAMACIÓN,resolucion ejercicio indices separados lectura y escritura,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ESTRUCTURAS DE DATOS,Multilistas,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
ESTRUCTURAS DE DATOS,Árboles,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ANÁLISIS Y DISEÑO DE ALGORITMOS,algoritmos de arboles,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ANÁLISIS Y DISEÑO DE ALGORITMOS,Problema de Conway,Preestructural,Evaluar,Algoritmia,"Evalúa la eficacia de algoritmos, modelos y técnicas IA usadas para la solución de problemas específicos."
ANÁLISIS Y DISEÑO DE ALGORITMOS,Algoritmo de ruta más corta  matrices,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ANÁLISIS Y DISEÑO DE ALGORITMOS,ruta mas corta,Multiestructural,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
ANÁLISIS Y DISEÑO DE ALGORITMOS,ruta crítica más corta,Relacional,Analizar,Otros,Analiza datos empleando métodos estadísticos y herramientas de visualización de grandes volúmenes de datos y datos geoespaciales para interpretar tendencias y patrones.
ANÁLISIS Y DISEÑO DE ALGORITMOS,complejidad computacional,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ANÁLISIS Y DISEÑO DE ALGORITMOS,complejidad computacionl,Uniestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA DE SOFTWARE,integración backend,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
ALGORITMIA Y PROGRAMACIÓN,Introducción a proyecto integrador,Relacional,Aplicar,Proyecto Integrador,"Manipula datos empleando herramientas y aplicando técnicas para la extracción, limpieza, transformación y preprocesamiento de datos en diferentes entornos y formatos."
ANÁLISIS Y DISEÑO DE ALGORITMOS,Ecuaciones de recurrencia,Multiestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ANÁLISIS Y DISEÑO DE ALGORITMOS,ruta mínima,Relacional,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
SISTEMAS DISTRIBUIDOS COMPUTACIONALES,"Transacción a 2 Fases - 2PC, Transacción a 3 Fases - 3PC",Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ARQUITECTURA DE SOFTWARE,Atributos de calidad y sus características a través de métricas,Multiestructural,Comprender,Investigación,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
SISTEMAS DISTRIBUIDOS COMPUTACIONALES,AWS CONCEPTO HISTORIA Y SERVICIOS,Abstracto Extendido,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
ALGORITMIA Y PROGRAMACIÓN,Concepto básicos visual basic,Abstracto Extendido,Analizar,Programación VBA,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ALGORITMIA Y PROGRAMACIÓN,Concepto básicos visual basic,Abstracto Extendido,Analizar,Programación VBA,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Pilas y colas,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,planteamiento del problema del proyecto para la asignatura,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,formulación del proyecto con citaciones y cifras,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Estructura de los objetivos específicos para el proyecto de series de tiempo de clima,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Machine learning ,Abstracto Extendido,Recordar,Otros,Comprender Código y Requerimientos Existentes
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Algoritmos de predicción,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
SISTEMAS DISTRIBUIDOS COMPUTACIONALES,"THREADS, COMUNICACIONES, TIPOS, ACID ,Transacción a 2 Fases - 2PC Transacción a 3 Fases - 3PC, Bloqueo a 2 Fases - 2PL",Preestructural,NO HAY VERBO,Otros,NO HAY VERBO
ARQUITECTURA DE SOFTWARE,Diagramas de UML diferencias y usos,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
INGENIERÍA DE SOFTWARE,requerimientos,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA DE SOFTWARE,diseño documental del proyecto ,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
INGENIERÍA DE SOFTWARE,cronograma,Abstracto Extendido,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO,Elementos que debe cumplir una pregunta de investigación y objetivos para el proyecto del videojuego,Preestructural,Recordar,Otros,Comprender Código y Requerimientos Existentes
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Compilación de APK,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Compilación de APK desde node,NO HAY VERBO,Aplicar,Programación Java,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
ARQUITECTURA DE SOFTWARE,Arquitectura Clean,Abstracto Extendido,Crear,Programación VBA,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID,Aplicación android,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
SISTEMAS DISTRIBUIDOS COMPUTACIONALES,AWS servidor DNS,Abstracto Extendido,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
ANÁLISIS Y DISEÑO DE ALGORITMOS,Automatas AFN,Multiestructural,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ANÁLISIS Y DISEÑO DE ALGORITMOS,algoritmos de ruta minima,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
PROGRAMACIÓN IMPERATIVA,Cadenas y ciclos for.,NO HAY VERBO,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Cadenas y ciclos for,NO HAY VERBO,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
PROGRAMACIÓN IMPERATIVA,Definición del problema para la asignatura programación imperativa.,Multiestructural,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
PROGRAMACIÓN IMPERATIVA,Definición problema objetivos y relación con la programación imperativa,Multiestructural,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
ESTRUCTURAS DE DATOS,Multilistas,NO HAY VERBO,NO HAY VERBO,Programación Python,NO HAY VERBO
ANÁLISIS Y DISEÑO DE ALGORITMOS,Algoritmo ruta mas corta grafo matriz,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
SISTEMAS DISTRIBUIDOS COMPUTACIONALES,Protocolo RPC,Abstracto Extendido,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
SISTEMAS DISTRIBUIDOS COMPUTACIONALES,Protocolo RPC ,Abstracto Extendido,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
SISTEMAS DISTRIBUIDOS COMPUTACIONALES,Programación RPC ,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
SISTEMAS DISTRIBUIDOS COMPUTACIONALES,Web service ,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
SISTEMAS DISTRIBUIDOS COMPUTACIONALES,Sistemas en la Nube,Multiestructural,Crear,Investigación,Crear Automatización de Pruebas y Mejora Continua
SISTEMAS DISTRIBUIDOS COMPUTACIONALES,Contenedores Docker ,Abstracto Extendido,Aplicar,Algoritmia,Aplica algoritmos que utilizan estructuras de datos para resolver problemas
ANÁLISIS Y DISEÑO DE ALGORITMOS,algoritmo cinètico de montecarlo,Preestructural,NO HAY VERBO,Algoritmia,NO HAY VERBO
ALGORITMIA Y PROGRAMACIÓN,Errores de logica y operadores logicos,Abstracto Extendido,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
ALGORITMIA Y PROGRAMACIÓN,Funcion cuadratica con raices complejas,Multiestructural,Crear,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ALGORITMIA Y PROGRAMACIÓN,Indicaciones para resolución de ejercicio MCD. Caso especial,Relacional,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMIA Y PROGRAMACIÓN,resolucion ejercicio 6 del parcial,Abstracto Extendido,Crear,Otros,"Desarrolla aplicaciones web integrando componentes de tipo front-end y back-end, aplicando principios de arquitectura de software y patrones de diseño, para crear soluciones que respondan a necesidades específicas de usuarios finales."
ALGORITMIA Y PROGRAMACIÓN,Series de taylor implementadas en VBA,Abstracto Extendido,Aplicar,Programación VBA,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ALGORITMIA Y PROGRAMACIÓN,Introducción a proyecto integrador,Relacional,Aplicar,Proyecto Integrador,"Manipula datos empleando herramientas y aplicando técnicas para la extracción, limpieza, transformación y preprocesamiento de datos en diferentes entornos y formatos."
PROGRAMACIÓN IMPERATIVA,Definición del problema,Multiestructural,Comprender,Otros,"Explica fenómenos sociales o naturales a través de conocimientos científicos, tecnológicos y contextuales, en función de la resolución de problemas y la toma decisiones."
PROGRAMACIÓN IMPERATIVA,Descriciónobjetivos alcance,Abstracto Extendido,Comprender,Investigación,"Aplica técnicas de QoS para priorizar el tráfico de red, asegurando la entrega eficiente de servicios críticos mediante la virtualización de redes y redes definidas por software (SDN) para una administración más flexible y escalable."
ANÁLISIS Y DISEÑO DE ALGORITMOS,algoritmos de árboles,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ANÁLISIS Y DISEÑO DE ALGORITMOS,algoritmo de ruta minima,Multiestructural,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ANÁLISIS Y DISEÑO DE ALGORITMOS,aloritmo ruta minima,Relacional,Aplicar,Otros,"Soluciona problemas de conectividad, rendimiento o seguridad además de llevar a cabo la documentación y mantenimiento de las redes para garantizar su estabilidad y evolución mediante herramientas de monitoreo y diagnóstico de redes"
ARQUITECTURA DE SOFTWARE,PEER TO PEER,NO HAY VERBO,NO HAY VERBO,Otros,NO HAY VERBO
ARQUITECTURA DE SOFTWARE,TIPOS DE DIAGRAMAS UML CONCEPTOS PROPIEDADES Y USOS,Abstracto Extendido,Analizar,Algoritmia,Integra los algoritmos seleccionados con criterios de eficiencia y efectividad para la solución de problemas informáticos complejos.
ESTRUCTURAS DE DATOS,Listas Enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
ESTRUCTURAS DE DATOS,Listas enlazadas,Multiestructural,Comprender,Programación Python,"Determina las aplicaciones del Deep Learning en diferentes contextos, como imágenes y lenguaje natural para la solución de problemas que pueden ser resueltos mediante estas técnicas."
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS,GUI,NO HAY VERBO,NO HAY VERBO,Investigación,NO HAY VERBO
